[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
HTSeq__FPKM_UQ: FLOAT | Fragments Per Kilobase of transcript per Million mapped reads (FPKM) is a simple expression level normalization method. The FPKM normalizes read count based on gene length and the total number of mapped reads. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
HTSeq__Counts: NUMBER | Number of mapped reads to each gene as calculated by the Python package HTSeq. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-Counts/
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R25
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_name_key: TEXT | GDC path to original BAM or VCF file
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
program_name: TEXT | Program name, eg TCGA or TARGET
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
access: TEXT | Data accessibility policy (open or controlled)
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
index_file_size: NUMBER | The size of the index file measured in bytes, when present
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_size: NUMBER | The size of a file measured in bytes
platform: TEXT | Platform used to generate data (null, Illumina)
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V3_4
program_name: TEXT | Name of the data's source program
file_name: TEXT | Name of file in PDC
file_size: NUMBER | The size of the file measured in bytes
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
access: TEXT | Data accessibility policy (open or controlled)
experiment_type: TEXT | General strategy used for differential analysis
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test
sample_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific sample (e.g. Tumor Pat1)
project_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific project (e.g. CPTAC3-Discovery)
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
data_category: TEXT | Category description of the underlying data (e.g. Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling)
program_short_name: TEXT | Program name abbreviation (e.g. CPTAC)
file_location: TEXT | Physical location of the file on the server
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
file_format: TEXT | File format of the underlying data (eg BCR XML, BAM)
instrument: TEXT | Make and model of the mass spectrometry instrument
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)
file_id: TEXT | An identifier (UUID) to uniquely identify the file in PDC (e.g. 795dd383-5efd-484b-9c2f-f061ae617fc7)

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R27
diag__treat__state: TEXT | The current state of the object.
diag__treat__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__treatment_id: TEXT | GDC-assigned identifier for a case's treatment data.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__treat__treatment_type: TEXT | Text term that describes the kind of treatment administered.
diag__treat__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R39
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
sample_barcode: TEXT | sample barcode, eg. TCGA-12-1089-01A. One sample may have multiple sets of expression values corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode)
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
fpkm_unstranded: FLOAT | Fragments per kilobase of transcript per million mapped reads (FPKM) calculation, intended to control for transcript length and overall sequencing quantity
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix -- eg. ENSG00000235943.1
case_barcode: TEXT | Original case barcode
file_gdc_id: TEXT | Unique GDC identifier for the file containing the expression values (corresponds to the file_barcode)
gene_name: TEXT | Gene name eg. TTN, DDR1
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode)
primary_site: TEXT | Anatomical site of the cancer under investigation or review
stranded_second: NUMBER | Number of mapped reads mapping to only the second strand of the genomic region of each gene as calculated by STAR
unstranded: NUMBER | Number of mapped reads mapping to both strands of the genomic region of each gene as calculated by STAR
stranded_first: NUMBER | Number of mapped reads mapping to only the first strand of the genomic region of each gene as calculated by STAR
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode)
tpm_unstranded: FLOAT | Transcripts per million with transcripts normalized for length, as calculated by a custom GDC pipeline
fpkm_uq_unstranded: FLOAT | Upper quartile FPKM (FPKM-UQ), a modified FPKM calculation in which the protein coding gene in the 75th percentile position is substituted for the sequencing quantity. This is thought to provide a more stable value than including the noisier genes at the extremes
aliquot_barcode: TEXT | TCGA aliquot barcode, eg. TCGA-12-1089-01A-01D-0517-31
platform: TEXT | Platform used to generate data; eg. IlluminaHiSeq or IlluminaGA
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg. ENSG00000185028

## TCGA_VERSIONED.SOMATIC_MUTATION_HG38_GDC_R6
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
ExAC_AF_AMR: TEXT | American Allele Frequency from ExAC
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
Exon_Number: TEXT | The exon number (out of total number)
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
MC3_Overlap: TEXT | Indicates whether this region overlaps with an MC3 variant for the same sample pair
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
t_alt_count: TEXT | Read depth supporting the variant allele in tumor BAM
AMR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
Score: TEXT | Not in use
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
ExAC_AF: TEXT | Global Allele Frequency from ExAC
INTRON: TEXT | The intron number (out of total number)
gdc_vcf_uuid: TEXT | Unique GDC identifier for the underlying vcf file
UNIPARC: TEXT | UniParc identifier of protein product
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
MINIMISED: TEXT | Alleles in this variant have been converted to minimal representation before consequence calculation (1 or null)
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
gdc_tumor_sample_uuid: TEXT | Unique GDC identifier for the underlying tumor sample
gdc_normal_bam_uuid: TEXT | Unique GDC identifier for the underlying normal bam file
BAM_File: TEXT | Name of the bam file. Not in use in this table.
COSMIC: TEXT | Overlapping COSMIC variants
Validation_Method: TEXT | The assay platforms used for the validation call
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
EAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
DISTANCE: NUMBER | Shortest distance from the variant to transcript
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
gdc_normal_sample_uuid: TEXT | Unique GDC identifier for the underlying normal sample
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
Center: TEXT | One or more genome sequencing center reporting the variant
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
Validation_Status: TEXT | Second pass results from orthogonal technology
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
ExAC_AF_NFE: TEXT | Non-Finnish European Allele Frequency from ExAC
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
