[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
level_count: NUMBER | Level_count. Either 1,2,3,4, or 5
Date: TEXT | Date. Examples: 10/12/2012, 2014-06-13T15:18:35.92Z (can be null)
LineCameraSkew: FLOAT | LineCameraSkew. Examples: 8.33E-4, 0.001149, -1.25E-4 (can be null)
level_1__width: NUMBER | Level_1__width.Examples: 9734, 60169, 7427 (can be null)
level_0__tile_height: NUMBER | Level_0__tile_height. Either 256 or 240.
slide_barcode: TEXT | TCGA slide barcode. Example: TCGA-CR-7365-01A-01-TS1. See https://docs.gdc.cancer.gov/Encyclopedia/pages/TCGA_Barcode/
mpp_x: FLOAT | Mpp_x. Examples: 0.2517, 0.25, 0.5025 (can be null)
level_0__height: NUMBER | Level_0__height. Examples: 6311, 26499, 38406, 108417
level_4__width: TEXT | Level_4__width.Examples: 762, 932, 1018 (can be null)
level_2__tile_height: NUMBER | Level_2__tile_height. Either 256 or 240 (can be null)
vendor: TEXT | Vendor. Either aperio or generic-tiff
level_4__height: TEXT | Level_4__height. Examples: 1730, 1562, 2388 (can be null)
case_barcode: TEXT | TCGA case barcode. Example:TCGA-CR-7365. See https://docs.gdc.cancer.gov/Encyclopedia/pages/TCGA_Barcode/
level_1__tile_width: NUMBER | Level_1__tile_width.Either 256 or 240 (can be null)
MPP: FLOAT | MPP. Examples: -1.25E-4, 0.25, 0.4939 (can be null)
level_2__tile_width: NUMBER | Level_2__tile_width.Either 256 or 240 (can be null)
level_3__width: NUMBER | Level_3__width.Examples: 3008, 2603, 2148 (can be null)
level_2__downsample: FLOAT | Level_2__downsample.Examples: 8.002762808205022, 16.002450502327406 (can be null)
mpp_y: FLOAT | Mpp_y. Examples: 0.2517, 0.25, 0.5025 (can be null)
level_1__height: NUMBER | Level_1__height. Examples: 1577, 2500, 11517 (can be null)
BigTIFF: BOOLEAN | BigTiff. Either true or null
portion_id: TEXT | Portion_id. Examples: 00, 01, 02, ..., 10.
level_4__downsample: TEXT | Level_4__downsample.Examples: 128, 256, 32.007485244507386 (can be null)
StripeWidth: NUMBER | StripeWidth. Examples 1000, 2032, 1840 (can be null)
level_2__width: NUMBER | Level_2__width.Examples: 9734, 42444, 7427 (can be null)
DSR_ID: TEXT | DSR_ID. Examples: resc3-dsr2, ss1641, hsc--htraperio
level_1__tile_height: NUMBER | Level_1__tile_height. Either 256 or 240 (can be null)

## TCGA_VERSIONED.CLINICAL_GDC_R39
@use: [C1, C18, C28]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
diag__ann_arbor_extranodal_involvement: BOOLEAN | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V2_13
@use: [C21, C30, C9]
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
program_name: TEXT | Name of the data's source program
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)

## TCGA_VERSIONED.DNA_METHYLATION_CHR14_HG19_GDC_2017_01
@use: [C13]
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.DNA_METHYLATION_CHR17_HG38_GDC_2017_01
@use: [C13]
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba20
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-12

## TCGA_VERSIONED.SOMATIC_MUTATION_HG38_GDC_R7
@use: [C12, C14, C19, C2, C25, C32, C6, C8]
One_Consequence: TEXT | The single consequence of the canonical transcript in   sequence ontology terms
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
case_id: TEXT | Unique GDC identifier for the case
Validation_Status: TEXT | Second pass results from orthogonal technology
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
fileName: TEXT | Original file name for the underlying MAF file(s), eg TCGA.UCEC.muse.1093fec9-6c39-4589-adeb-95f00e5e2181.DR-6.0.somatic.maf
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R33P1
@use: [C3, C9]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
program_name: TEXT | Program name, eg TCGA or TARGET
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
platform: TEXT | Platform used to generate data (null, Illumina)
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44

## TCGA_VERSIONED.COPY_NUMBER_SEGMENT_MASKED_HG19_GDC_2017_02
@use: [C29, C37]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate these data (Genome_Wide_SNP_6 for this data)
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.DNA_METHYLATION_CHRX_HG19_GDC_2017_01
@use: [C13]
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_VERSIONED.DNA_METHYLATION_CHR3_HG19_GDC_2017_01
@use: [C13]
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_VERSIONED.DNA_METHYLATION_CHR18_HG19_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R34
@use: [C14, C19, C2, C22, C4, C6, C8]
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
primary_site: TEXT | Anatomical site of the cancer under investigation or review
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
Validation_Status: TEXT | Second pass results from orthogonal technology
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
case_id: TEXT | Unique GDC identifier for the underlying case
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
somaticsniper: TEXT | Somaticsniper caller identified the variant at this position

## TCGA_VERSIONED.COPY_NUMBER_GENE_LEVEL_HG38_GDC_R36
@use: [C29, C31]
copy_number: NUMBER | The weighted median of the strand copy numbers. Gene-level copy number data is generated by intersection of copy number segment and gene ranges. It is possible for one gene to overlap with multiple segments, and in this case, copy_number, min_copy_number and max_copy_number could take different values. In particular, the copy_number value is calculated as the median, weighted on length of overlapped bases, of segment copy numbers from all overlapped segments.
primary_site: TEXT | Anatomical site of the cancer under investigation or review
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
gene_name: TEXT | Gene name eg. TTN, DDR1
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-02
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba10
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
